City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Butaritari,KI,79.86,broken clouds,3.07,172.79,Isles Sunset Lodge
2,Kapaa,US,80.19,light rain,22.08,-159.32,Sheraton Kauai Coconut Beach Resort
3,Georgetown,MY,83.89,few clouds,5.41,100.34,Cititel Penang
8,Mogadishu,SO,76.42,scattered clouds,2.04,45.34,Hotel Juba
10,Hasaki,JP,79.29,light rain,35.73,140.83,Inubosaki Kanko Hotel
13,Puerto Del Rosario,ES,80.35,clear sky,28.5,-13.86,Hotel JM Puerto del Rosario
14,Mao,ES,86.56,clear sky,39.89,4.27,ARTIEM Capri
22,Samarai,PG,79.88,clear sky,-10.62,150.67,Nuli Sapi
37,Cayenne,GF,86.09,few clouds,4.93,-52.33,Hôtel Le Dronmi
39,Ferkessedougou,CI,83.84,overcast clouds,9.6,-5.2,Hotel Chateau
42,Jamestown,US,78.06,overcast clouds,42.1,-79.24,Hampton Inn & Suites Jamestown
43,Atuona,PF,77.13,few clouds,-9.8,-139.03,Villa Enata
44,Buala,SB,79.93,overcast clouds,-8.14,159.59,Maringe Lagoon Lodge
45,Hithadhoo,MV,81.54,overcast clouds,-0.6,73.08,Scoop Guest House
48,Lazaro Cardenas,MX,86.86,overcast clouds,17.96,-102.2,HOTEL QUINTA ANTIGUA
58,Porto Novo,BJ,80.42,broken clouds,6.5,2.6,Tour Eiffel Hotel Benin
62,Chimore,BO,85.71,clear sky,-16.98,-65.13,Bichito
68,Tura,IN,75.88,overcast clouds,25.52,90.22,Hotel RIKMAN Continental
70,Ugoofaaru,MV,82.18,overcast clouds,5.67,73.0,Ungoofaaru Inn
72,Lata,PT,86.49,clear sky,40.16,-8.33,Casa Maquia
73,Tunceli,TR,82.13,clear sky,39.11,39.55,Grand Hotel Şaroğlu
75,Pontianak,ID,78.78,broken clouds,-0.03,109.33,Aston Pontianak Hotel & Convention Center
76,Nikolskoye,RU,78.69,clear sky,59.7,30.79,Tourist House - Sablino
80,Bengkulu,ID,76.3,broken clouds,-3.8,102.27,Grage Hotel Bengkulu
84,Peremyshlyany,UA,77.76,clear sky,49.67,24.56,Imperial
85,Kaifeng,CN,77.2,clear sky,34.79,114.35,Pullman Kaifeng Jianye
90,Puerto Ayora,EC,75.16,broken clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
92,Muyezerskiy,RU,79.66,scattered clouds,63.93,31.65,"Gostinitsa Ooo ""Lzkh ""Ledmozerskoye"""
104,Saint Anthony,US,82.65,clear sky,45.02,-93.22,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
105,Ystad,SE,77.74,overcast clouds,55.43,13.82,Continental du Sud
108,Mattru,SL,77.61,overcast clouds,7.62,-11.83,"Mondkor Town, Bagbo Chiefdom, Bo District"
110,Kulhudhuffushi,MV,81.55,overcast clouds,6.62,73.07,Haajy Guest House 1
111,Cochrane,CA,75.47,clear sky,51.18,-114.47,Days Inn & Suites by Wyndham Cochrane
113,Nong Chik,TH,78.64,overcast clouds,6.84,101.18,Bakkahland Farm and Resort
114,Haysyn,UA,77.74,clear sky,48.81,29.39,Комплекс «Здорово»
117,Sao Filipe,CV,75.63,broken clouds,14.9,-24.5,Hotel Xaguate
119,Nanyang,CN,78.24,few clouds,32.99,112.53,Wolong Memory Hotel
123,Santa Cruz,BO,83.66,scattered clouds,-17.8,-63.17,Hotel California
127,Bathsheba,BB,86.61,scattered clouds,13.22,-59.52,Atlantis Hotel
129,Pandan,PH,81.41,clear sky,14.05,124.17,Bonifacio Lodge
136,Rapid Valley,US,87.42,clear sky,44.06,-103.15,Fairfield Inn & Suites by Marriott Rapid City
137,Ganzhou,CN,82.15,overcast clouds,28.82,115.43,Zhanqian Grand Hotel
142,Aquin,HT,86.22,overcast clouds,18.28,-73.4,Asheev Beach
143,Katsuura,JP,77.77,overcast clouds,35.13,140.3,Katsuura Hotel Mikazuki
149,Sturgis,US,82.53,clear sky,41.8,-85.42,Best Western Plus Howe Inn
150,Kangasala,FI,84.85,overcast clouds,61.46,24.08,Hepesa Oy
152,Gat,IL,83.8,clear sky,31.61,34.76,OlusHome
153,Vanimo,PG,78.33,moderate rain,-2.67,141.3,Vahmoneh Lodge Vanimo
157,Aloleng,PH,82.18,overcast clouds,16.13,119.78,Steve Walden and Emma Sison-Walden Residence
158,Flagstaff,US,79.05,overcast clouds,35.2,-111.65,Drury Inn & Suites Flagstaff
162,Loreto,MX,77.86,clear sky,22.27,-101.97,José de Jesús Velásquez mora
164,Takoradi,GH,78.3,scattered clouds,4.88,-1.76,Raybow International Hotel
167,Ponta Do Sol,PT,76.12,clear sky,32.67,-17.1,Hotel do Campo
168,Albert Lea,US,80.62,clear sky,43.65,-93.37,Countryside Motel Albert Lea
169,Maumere,ID,77.56,broken clouds,-8.62,122.21,Sylvia Hotel
171,Hannibal,US,87.35,clear sky,39.71,-91.36,Country Hearth Inn Hannibal
174,Isangel,VU,76.08,few clouds,-19.55,169.27,Tanna Lodge
177,Juegang,CN,80.91,few clouds,32.32,121.19,Rudong Y Hotel
179,Muros,ES,83.68,clear sky,42.78,-9.06,Apartment Av. Castelao
182,Naze,JP,83.32,broken clouds,28.37,129.48,Shishime Hotel
185,Ribeira Grande,PT,75.6,few clouds,38.52,-28.7,Quinta da Meia Eira
189,Fort-Shevchenko,KZ,77.36,broken clouds,44.51,50.26,Oasis hotel Bautino
191,Bemidji,US,76.05,clear sky,47.47,-94.88,Hampton Inn & Suites Bemidji
192,Shenjiamen,CN,79.0,overcast clouds,29.96,122.3,Jinjiang Inn Zhoushan Putuo Shenjiamen
195,Mamallapuram,IN,87.85,broken clouds,12.63,80.17,Radisson Blu Resort Temple Bay Mamallapuram
199,Iralaya,HN,84.22,clear sky,15.0,-83.23,Iglesia morava renovada
205,Kisangani,CD,79.34,overcast clouds,0.52,25.2,Grand Ramela Hotel
206,Ibipeba,BR,80.56,scattered clouds,-11.64,-42.01,Quitanda santos
210,Faanui,PF,76.71,few clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
211,Vila Velha,BR,78.75,scattered clouds,-20.33,-40.29,Hotel Vitória Palace
220,Monrovia,LR,78.28,overcast clouds,6.3,-10.8,Eco Hotel
224,Mgarr,MT,86.58,clear sky,36.03,14.29,Hotel Ta' Cenc & Spa
229,Laguna,US,87.08,clear sky,38.42,-121.42,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
232,Asau,RO,81.52,clear sky,46.43,26.4,Casa Mika Ciobanus
236,Agar,IN,78.73,overcast clouds,23.7,76.02,Bherav Mandir
240,Victoria,HK,87.33,clear sky,22.29,114.16,Mini Central
249,Axim,GH,78.51,scattered clouds,4.87,-2.24,Axim Beach Resort And Spa
256,Pundaguitan,PH,81.63,light rain,6.37,126.17,Leonardo Family Beach House 1
263,Luleburgaz,TR,83.52,clear sky,41.4,27.36,alparslan rant a car
264,Kavieng,PG,80.94,light rain,-2.57,150.8,Nusa Island Retreat
265,Dongsheng,CN,77.25,overcast clouds,39.82,109.98,Crowne Plaza Ordos
273,Aracati,BR,83.8,overcast clouds,-4.56,-37.77,Hostel Pousada Ibiza
274,Gairo,IT,85.17,clear sky,39.85,9.5,La Nuova Luna
278,Daru,PG,76.15,broken clouds,-9.08,143.21,Daru Lodge
280,Fare,PF,76.17,clear sky,-16.7,-151.02,Maitai Lapita Village Huahine
