City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Butaritari,KI,3.07,172.79,79.86,76,80,4.23,broken clouds
1,Kahului,US,20.89,-156.47,73.42,83,40,8.05,light rain
2,Kapaa,US,22.08,-159.32,80.19,82,100,21.85,light rain
3,Georgetown,MY,5.41,100.34,83.89,86,20,3.44,few clouds
4,Rikitea,PF,-23.12,-134.97,74.32,73,21,10.07,few clouds
5,Ushuaia,AR,-54.80,-68.30,31.66,80,75,21.85,snow
6,Abu Dhabi,AE,24.47,54.37,100.51,66,0,8.05,clear sky
7,Mataura,NZ,-46.19,168.86,40.48,95,100,1.79,overcast clouds
8,Mogadishu,SO,2.04,45.34,76.42,84,40,18.25,scattered clouds
9,Punta Arenas,CL,-53.15,-70.92,35.71,75,20,21.85,few clouds
10,Hasaki,JP,35.73,140.83,79.29,91,100,13.6,light rain
11,Mar Del Plata,AR,-38.00,-57.56,56.08,63,0,14.0,clear sky
12,Qaanaaq,GL,77.48,-69.36,46.11,69,100,5.37,overcast clouds
13,Puerto Del Rosario,ES,28.50,-13.86,80.35,69,0,17.27,clear sky
14,Mao,ES,39.89,4.27,86.56,51,0,10.36,clear sky
15,Bredasdorp,ZA,-34.53,20.04,51.1,84,13,3.62,few clouds
16,Vladesti,RO,45.12,24.30,89.58,24,0,9.4,clear sky
17,Avarua,CK,-21.21,-159.78,71.65,73,100,12.66,overcast clouds
18,Codrington,AU,-38.27,141.97,46.44,85,5,10.78,clear sky
19,Mahebourg,MU,-20.41,57.70,69.26,88,40,11.5,scattered clouds
20,Dikson,RU,73.51,80.55,42.48,89,100,24.74,light rain
21,Chapais,CA,49.78,-74.85,67.5,88,57,13.09,broken clouds
22,Samarai,PG,-10.62,150.67,79.88,82,1,8.84,clear sky
23,Cabo San Lucas,MX,22.89,-109.91,96.62,45,0,11.5,clear sky
24,Tuktoyaktuk,CA,69.45,-133.04,47.68,83,100,2.73,overcast clouds
25,Hobart,AU,-42.88,147.33,39.27,90,0,1.99,clear sky
26,Cape Town,ZA,-33.93,18.42,59.34,76,53,5.01,broken clouds
27,Albany,US,42.60,-73.97,90.68,62,8,5.01,clear sky
28,Torbay,CA,47.67,-52.73,72.75,64,75,19.57,broken clouds
29,Barrow,US,71.29,-156.79,42.82,81,0,23.02,clear sky
30,Busselton,AU,-33.65,115.33,56.7,75,75,10.92,broken clouds
31,Mehamn,NO,71.04,27.85,60.75,82,0,0.0,light rain
32,Wasilla,US,61.58,-149.44,55.06,91,100,8.05,light rain
33,Pevek,RU,69.70,170.31,31.87,99,100,8.68,light snow
34,Port Alfred,ZA,-33.59,26.89,58.17,82,0,1.01,clear sky
35,New Norfolk,AU,-42.78,147.06,38.91,83,0,2.93,clear sky
36,Vaini,TO,-21.20,-175.20,74.01,75,5,9.33,clear sky
37,Cayenne,GF,4.93,-52.33,86.09,22,21,8.05,few clouds
38,Bluff,NZ,-46.60,168.33,40.8,79,98,7.83,overcast clouds
39,Ferkessedougou,CI,9.60,-5.20,83.84,57,93,3.24,overcast clouds
40,Longyearbyen,SJ,78.22,15.64,49.84,87,75,8.05,broken clouds
41,Fortuna,US,40.60,-124.16,57.92,91,87,5.23,overcast clouds
42,Jamestown,US,42.10,-79.24,78.06,73,100,16.11,overcast clouds
43,Atuona,PF,-9.80,-139.03,77.13,76,13,15.7,few clouds
44,Buala,SB,-8.14,159.59,79.93,83,90,6.11,overcast clouds
45,Hithadhoo,MV,-0.60,73.08,81.54,71,100,5.08,overcast clouds
46,Upernavik,GL,72.79,-56.15,46.45,85,100,4.92,overcast clouds
47,Guerrero Negro,MX,27.98,-114.06,72.25,69,71,13.15,broken clouds
48,Lazaro Cardenas,MX,17.96,-102.20,86.86,67,91,5.82,overcast clouds
49,Yurty,RU,56.05,97.63,59.2,72,79,4.12,broken clouds
50,Syracuse,IT,37.09,15.28,89.19,58,0,8.68,clear sky
51,Kaeo,NZ,-35.10,173.78,50.32,95,36,5.32,scattered clouds
52,Dasoguz,TM,41.84,59.97,98.55,28,0,9.22,clear sky
53,Wilkie,CA,52.42,-108.70,71.98,52,28,13.13,scattered clouds
54,Bakaly,RU,55.18,53.80,64.36,78,98,4.16,overcast clouds
55,Port Pirie,AU,-33.18,138.02,52.66,79,96,12.33,overcast clouds
56,Thohoyandou,ZA,-22.95,30.48,64.49,63,74,3.42,broken clouds
57,Saint-Philippe,RE,-21.36,55.77,69.39,78,54,16.73,light rain
58,Porto Novo,BJ,6.50,2.60,80.42,67,78,11.86,broken clouds
59,Vardo,NO,70.37,31.11,56.44,87,100,10.33,overcast clouds
60,Rawson,AR,-43.30,-65.10,47.91,40,50,24.96,scattered clouds
61,Sovetskiy,RU,61.36,63.58,61.81,50,46,4.56,scattered clouds
62,Chimore,BO,-16.98,-65.13,85.71,40,6,5.44,clear sky
63,Metro,ID,-5.11,105.31,74.8,92,83,4.54,broken clouds
64,Moussoro,TD,13.64,16.49,90.57,46,99,0.63,overcast clouds
65,Khatanga,RU,71.97,102.50,52.99,66,100,7.27,overcast clouds
66,Alofi,NU,-19.06,-169.92,67.89,88,7,2.3,clear sky
67,Aykino,RU,62.22,49.99,70.7,58,100,2.48,overcast clouds
68,Tura,IN,25.52,90.22,75.88,95,100,3.6,overcast clouds
69,Somerset West,ZA,-34.08,18.82,59.22,76,39,2.48,scattered clouds
70,Ugoofaaru,MV,5.67,73.00,82.18,77,100,17.81,overcast clouds
71,Aklavik,CA,68.22,-135.01,55.4,94,100,2.3,light rain
72,Lata,PT,40.16,-8.33,86.49,48,0,10.56,clear sky
73,Tunceli,TR,39.11,39.55,82.13,36,0,6.53,clear sky
74,Thompson,CA,55.74,-97.86,60.96,94,100,10.36,smoke
75,Pontianak,ID,-0.03,109.33,78.78,94,75,3.44,broken clouds
76,Nikolskoye,RU,59.70,30.79,78.69,50,0,4.09,clear sky
77,Monastyrshchina,RU,54.35,31.84,67.1,75,18,12.46,few clouds
78,Kodiak,US,57.79,-152.41,51.31,93,100,3.44,overcast clouds
79,Rantepao,ID,-2.97,119.90,66.47,98,63,1.92,moderate rain
80,Bengkulu,ID,-3.80,102.27,76.3,91,76,4.56,broken clouds
81,San Patricio,US,28.02,-97.52,93.06,44,2,14.7,clear sky
82,Mayo,US,38.89,-76.51,95.36,68,0,8.99,clear sky
83,Elat,IL,29.56,34.95,100.24,39,0,12.66,clear sky
84,Peremyshlyany,UA,49.67,24.56,77.76,36,6,10.56,clear sky
85,Kaifeng,CN,34.79,114.35,77.2,73,9,7.0,clear sky
86,Klyuchi,RU,52.27,79.17,74.43,53,100,12.77,overcast clouds
87,Pontal Do Parana,BR,-25.65,-48.51,74.98,68,13,5.08,few clouds
88,Cidreira,BR,-30.18,-50.21,71.76,72,100,4.97,overcast clouds
89,Saldanha,ZA,-33.01,17.94,55.45,71,38,10.31,scattered clouds
90,Puerto Ayora,EC,-0.74,-90.35,75.16,89,84,8.01,broken clouds
91,Narsaq,GL,60.92,-46.05,66.42,68,6,6.46,clear sky
92,Muyezerskiy,RU,63.93,31.65,79.66,43,35,3.8,scattered clouds
93,Grindavik,IS,63.84,-22.43,55.35,94,75,9.22,light intensity drizzle
94,Norman Wells,CA,65.28,-126.83,60.84,88,75,0.0,broken clouds
95,Tomatlan,MX,19.93,-105.25,89.64,64,10,1.79,clear sky
96,Chuy,UY,-33.70,-53.46,64.0,85,100,8.77,light rain
97,Zhigansk,RU,66.77,123.37,57.54,95,100,9.64,light rain
98,Sandviken,SE,60.62,16.77,92.57,43,100,7.99,overcast clouds
99,Mbabane,SZ,-26.32,31.13,54.1,84,82,1.86,light rain
