City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Outjo,NA,2022-07-17 16:59:31,-20.1167,16.15,63.63,25,0,8.88
1,Mataura,NZ,2022-07-17 16:59:32,-46.1927,168.8643,51.48,83,83,6.58
2,Tilichiki,RU,2022-07-17 16:59:32,60.4667,166.1,52.18,91,76,5.75
3,Busselton,AU,2022-07-17 16:59:32,-33.65,115.3333,53.35,93,100,13.11
4,Tezu,IN,2022-07-17 16:59:33,27.9167,96.1667,77.63,98,68,2.59
5,Hobart,AU,2022-07-17 16:58:48,-42.8794,147.3294,39.06,79,40,13.8
6,Ushuaia,AR,2022-07-17 16:59:33,-54.8,-68.3,42.46,52,40,10.36
7,Fortuna,US,2022-07-17 16:59:33,40.5982,-124.1573,58.98,76,43,7.29
8,Kapaa,US,2022-07-17 16:59:34,22.0752,-159.319,77.11,85,100,3.0
9,Punta Arenas,CL,2022-07-17 16:56:09,-53.15,-70.9167,33.91,80,0,16.11
10,Manta,EC,2022-07-17 16:59:34,-0.95,-80.7333,74.98,83,75,9.22
11,Georgetown,MY,2022-07-17 16:59:34,5.4112,100.3354,84.13,90,20,2.3
12,Ponta Do Sol,PT,2022-07-17 16:59:35,32.6667,-17.1,77.72,84,35,9.55
13,Pisco,PE,2022-07-17 16:59:35,-13.7,-76.2167,64.02,72,1,8.05
14,Torata,PE,2022-07-17 16:59:35,-17.0769,-70.8433,67.6,13,64,8.39
15,San Cristobal,VE,2022-07-17 16:59:35,7.7669,-72.225,82.58,63,86,6.55
16,Reidsville,US,2022-07-17 16:59:36,36.3549,-79.6645,89.64,62,0,4.61
17,Nikolskoye,RU,2022-07-17 16:59:31,59.7035,30.7861,58.91,94,98,6.96
18,Micheweni,TZ,2022-07-17 16:59:36,-4.9667,39.8333,75.56,79,43,16.96
19,Saint-Philippe,RE,2022-07-17 16:59:36,-21.3585,55.7679,69.39,78,90,16.31
20,Narsaq,GL,2022-07-17 16:59:09,60.9167,-46.05,51.03,65,7,9.04
21,Albany,US,2022-07-17 16:59:37,42.6001,-73.9662,89.02,49,32,1.01
22,Naze,JP,2022-07-17 16:59:37,28.3667,129.4833,79.72,84,100,16.04
23,Upernavik,GL,2022-07-17 16:59:37,72.7868,-56.1549,41.14,86,61,14.32
24,Butaritari,KI,2022-07-17 16:59:30,3.0707,172.7902,81.66,74,99,10.83
25,Sorong,ID,2022-07-17 16:59:38,-0.8833,131.25,76.44,88,100,7.54
26,Bluff,NZ,2022-07-17 16:59:38,-46.6,168.3333,51.8,68,84,20.09
27,Diego De Almagro,CL,2022-07-17 16:59:38,-26.3667,-70.05,68.34,11,0,4.23
28,Atuona,PF,2022-07-17 16:58:37,-9.8,-139.0333,77.74,78,23,21.3
29,Kupang,ID,2022-07-17 16:59:39,-10.1667,123.5833,71.46,81,0,8.72
